M1,M2
MVC,231,MVC,231
8,2
7,1
7,1
6,1
6,1
6,1
6,1
6,1
5,1
5,1
5,1
5,2
5,2
5,2
5,2
6,2
6,2
7,2
7,2
7,2
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
7,1
7,1
8,1
8,1
8,1
9,1
9,1
9,1
9,1
9,1
9,1
8,1
8,1
9,2
9,2
9,2
9,2
9,2
9,2
10,2
11,2
11,2
11,2
11,2
12,2
12,2
13,2
13,2
13,2
12,2
12,2
12,2
11,2
10,2
10,2
9,2
9,2
8,2
8,2
7,2
6,2
6,2
6,2
5,2
5,2
5,1
6,1
6,1
6,1
6,1
6,1
6,2
6,2
6,1
6,1
6,1
6,1
6,1
7,1
7,1
7,1
8,1
8,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,2
10,2
10,2
10,2
10,2
9,2
9,2
9,2
9,2
9,2
9,2
9,2
8,2
8,2
8,2
8,1
8,1
9,1
9,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
9,1
9,1
9,1
9,1
10,2
10,2
10,2
10,2
10,2
10,2
10,1
10,1
11,1
11,1
11,1
11,1
11,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
11,1
11,1
12,1
12,1
14,1
14,1
14,1
14,1
14,1
14,1
14,1
15,1
15,1
15,1
15,1
15,1
15,1
14,1
14,1
12,1
12,1
12,1
11,2
10,2
9,2
9,2
9,2
9,2
9,2
9,2
10,1
11,1
11,1
12,1
12,1
12,1
11,1
12,1
12,1
12,1
12,1
13,1
13,1
15,1
15,1
17,1
17,1
16,1
16,1
16,1
15,1
15,1
15,1
14,1
14,1
14,1
14,1
14,1
14,1
14,2
14,2
14,2
14,2
14,2
14,2
14,2
15,1
15,1
15,1
15,1
14,1
14,1
14,1
13,2
13,2
13,2
13,2
13,2
13,3
14,3
14,3
14,4
14,4
14,4
14,4
14,4
15,4
15,4
14,3
13,3
13,3
12,2
12,2
11,2
11,2
11,2
10,2
9,1
9,1
9,1
9,3
9,4
9,4
9,5
9,6
9,6
9,6
9,7
9,7
9,7
9,7
9,6
9,6
9,6
9,6
10,5
11,5
12,5
12,5
14,5
18,6
18,6
18,6
20,7
20,7
22,9
24,12
24,12
24,12
24,12
24,21
24,28
24,28
25,33
25,33
23,38
23,38
21,43
21,43
19,50
18,52
16,49
15,43
14,33
14,33
14,33
13,25
13,18
13,18
13,14
13,14
13,9
13,5
13,3
13,3
13,3
13,1
13,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
12,1
12,1
12,1
12,1
12,1
12,1
12,1
12,2
14,2
17,2
17,2
17,2
21,3
21,3
21,3
29,4
36,5
44,7
44,7
52,9
59,13
59,13
65,17
73,22
73,22
80,29
90,35
90,35
96,43
96,43
101,48
103,52
103,52
107,57
106,60
106,60
104,62
103,62
103,62
103,61
104,60
104,60
106,60
108,59
108,59
109,58
111,58
111,58
111,58
110,56
108,52
103,48
103,48
103,48
99,44
95,42
95,42
91,41
91,41
89,44
89,45
89,45
89,45
89,45
95,51
98,55
98,55
101,57
103,59
104,61
105,63
105,63
109,67
114,69
