M1,M2
MVC,205,MVC,259
1,7
1,7
2,7
2,7
2,7
2,7
2,7
2,7
2,7
2,7
2,7
2,6
2,6
2,5
2,5
2,5
2,5
1,5
1,5
1,5
1,5
1,5
1,5
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
2,4
2,4
2,4
2,4
2,5
2,5
2,6
2,6
2,6
2,7
2,7
2,8
2,8
2,8
2,7
2,7
1,7
1,7
1,6
1,6
1,4
1,4
1,4
1,4
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
3,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,3
3,3
4,3
5,4
5,4
7,4
7,4
9,5
9,5
11,5
11,5
14,6
14,6
14,6
14,6
22,8
22,8
26,9
31,10
31,10
35,11
35,11
41,13
41,13
46,14
46,14
52,16
52,16
61,17
61,17
68,18
68,18
78,19
78,19
84,20
84,20
89,21
93,22
93,22
96,22
97,23
97,23
98,24
98,24
97,24
97,24
93,25
93,25
89,25
89,25
85,24
85,24
84,23
83,23
83,23
84,22
84,22
84,21
84,21
87,22
87,22
91,24
91,24
94,26
94,26
94,26
95,29
95,29
93,30
93,30
93,30
93,30
85,32
77,31
77,31
72,29
72,29
67,26
64,24
64,24
64,24
60,23
60,23
55,21
55,21
50,20
50,20
47,21
47,21
43,22
43,22
37,25
35,26
35,26
32,27
32,27
30,28
30,28
30,28
30,28
28,27
28,27
28,21
28,21
27,18
27,18
27,15
27,15
26,11
26,11
27,9
27,9
27,8
27,8
27,8
27,7
27,7
26,8
26,8
26,8
26,8
24,8
22,7
22,7
21,7
21,7
21,7
21,7
18,6
18,6
17,5
17,5
17,5
16,5
16,5
13,4
13,4
11,4
11,4
9,4
9,4
7,3
7,3
4,3
4,3
3,3
3,3
2,3
2,3
2,2
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,3
2,3
2,3
2,3
3,4
3,4
3,4
3,4
4,5
4,5
5,6
7,7
7,7
8,8
8,8
12,10
12,10
15,13
15,13
17,16
17,16
21,21
21,21
25,30
25,30
28,40
28,40
28,40
28,65
28,86
28,86
27,107
27,107
26,130
26,130
26,153
26,153
26,178
26,178
27,207
27,207
27,229
27,229
27,253
27,253
28,264
28,264
27,264
27,264
28,260
28,258
28,258
28,258
28,258
24,253
23,258
23,258
23,258
22,257
22,257
22,258
22,258
22,255
22,255
21,232
21,232
20,209
19,187
19,187
17,164
17,164
15,135
15,135
14,116
14,116
13,100
13,100
12,87
12,87
11,76
11,69
11,69
10,63
10,63
10,63
9,62
8,61
8,61
7,60
7,60
6,59
6,59
5,57
5,57
4,51
4,51
4,51
4,50
4,50
4,49
4,49
4,48
5,46
5,46
5,45
5,45
6,43
6,43
7,40
7,40
7,40
7,40
10,30
10,30
12,27
15,26
15,26
21,26
21,26
28,28
28,28
38,32
38,32
51,37
51,37
68,41
68,41
81,43
81,43
81,43
130,49
147,52
147,52
165,54
165,54
177,56
177,56
191,61
191,61
196,67
196,67
198,71
198,71
206,78
206,78
214,84
214,84
211,85
211,85
211,83
213,81
213,81
212,78
212,78
206,78
206,78
193,77
193,77
179,80
179,80
163,80
163,80
137,79
137,79
137,79
117,74
117,74
117,74
105,66
105,66
93,59
93,59
87,55
87,55
80,51
80,51
74,50
74,50
68,49
68,49
62,46
62,46
58,45
54,43
50,41
50,41
50,41
45,39
45,39
42,37
42,37
40,36
40,36
38,35
38,35
37,35
34,35
34,35
32,35
32,35
30,35
30,35
29,34
29,34
27,32
27,32
27,30
27,30
26,27
25,22
25,22
25,22
23,18
23,15
23,15
23,15
22,13
20,11
20,11
19,10
19,10
19,10
19,10
17,9
16,8
16,8
16,8
16,8
14,8
14,8
13,8
12,8
12,8
12,7
12,7
11,7
11,7
10,7
10,7
10,7
11,7
11,7
11,7
11,7
10,7
10,7
8,6
8,6
7,6
6,5
6,5
4,5
4,5
3,4
3,4
2,4
2,4
2,4
2,4
1,3
1,3
1,3
1,3
1,3
2,3
2,3
2,3
2,3
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,3
2,3
3,5
3,5
4,8
4,11
5,15
5,15
5,15
6,19
6,19
8,25
11,31
14,35
14,35
18,39
18,39
24,41
24,41
32,43
47,44
47,44
61,46
61,46
82,47
82,47
104,50
104,50
129,53
129,53
159,57
159,57
176,57
176,57
183,57
200,55
200,55
208,54
208,54
208,54
208,54
209,49
205,47
205,47
205,47
203,45
201,44
201,44
202,44
202,44
203,45
203,45
199,46
199,46
191,47
191,47
185,48
185,48
178,52
172,55
172,55
169,57
169,57
164,58
164,58
160,58
160,58
159,57
159,57
158,57
158,57
154,56
154,56
148,56
148,56
145,55
143,55
143,55
139,55
139,55
136,54
136,54
140,54
140,54
138,53
138,53
136,50
136,50
137,46
137,46
135,44
135,44
132,44
132,44
132,44
132,44
132,44
126,43
126,43
128,43
129,43
129,43
129,43
130,43
132,43
132,43
132,43
134,41
134,41
125,36
114,33
114,33
104,29
104,29
101,28
101,28
87,25
87,25
83,24
83,24
78,24
78,24
74,25
74,25
66,24
62,23
62,23
59,22
59,22
57,21
56,20
56,20
56,20
53,19
53,19
51,18
51,18
49,16
49,16
48,14
48,14
46,13
44,11
44,11
42,10
42,10
41,11
41,11
39,12
39,12
38,13
38,13
35,16
35,16
31,18
31,18
31,18
22,23
22,23
17,24
17,24
13,23
13,23
10,20
10,20
7,17
7,17
4,13
4,13
3,11
3,11
1,6
1,6
1,6
1,5
1,5
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,4
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
2,2
2,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
1,3
1,3
1,3
1,3
1,3
