M1,M2
MVC,150,MVC,340
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
2,2
2,3
2,3
2,3
2,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
2,4
2,4
1,18
1,18
1,18
1,17
1,17
1,17
1,16
1,15
1,15
1,15
1,15
1,15
2,17
2,17
2,17
2,17
2,17
2,18
2,18
2,18
2,20
2,20
2,24
2,24
2,28
2,28
3,35
3,35
4,44
4,44
4,54
4,54
5,64
5,64
5,64
5,66
6,67
6,69
6,69
6,69
6,73
6,73
6,76
6,76
6,79
6,83
6,83
6,88
6,88
5,89
5,89
5,96
5,96
5,96
5,96
5,98
5,98
5,98
5,98
5,98
6,100
6,100
6,105
6,105
6,105
6,111
6,113
6,113
6,120
7,130
7,130
7,130
8,143
8,143
10,160
10,170
11,179
11,179
11,179
12,184
12,185
12,185
12,183
12,183
12,176
12,170
12,170
12,163
12,158
12,158
12,158
11,144
11,142
11,142
11,142
10,137
10,137
10,137
10,137
10,141
10,141
10,149
10,158
11,162
11,162
11,162
11,168
11,168
13,179
13,179
13,179
13,179
14,189
14,189
15,193
15,193
15,192
14,183
14,183
14,182
14,182
13,174
13,174
12,168
12,168
12,164
12,164
12,162
11,161
11,161
10,167
10,167
10,177
10,177
10,183
10,183
11,186
11,186
12,185
12,184
12,184
12,179
12,179
12,177
12,177
12,172
12,172
12,166
12,166
12,158
12,158
12,153
11,146
11,139
11,139
11,139
11,133
11,133
11,134
11,136
11,136
11,145
11,145
12,150
12,150
12,151
12,151
12,151
12,151
12,151
12,151
10,122
10,122
9,104
9,104
7,80
7,66
6,54
6,54
6,54
6,44
6,34
7,25
6,20
6,15
5,11
4,9
4,9
4,9
4,6
4,6
3,4
3,4
2,3
2,3
2,3
2,3
2,3
2,3
2,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
2,3
2,3
2,3
3,3
3,3
3,3
4,4
5,4
5,4
8,8
8,8
8,8
12,13
12,13
12,13
15,17
19,22
24,28
24,28
24,28
47,45
47,45
47,45
60,54
60,54
60,54
95,67
95,67
116,70
116,70
128,70
132,68
123,62
123,62
123,62
105,52
105,52
58,27
58,27
58,27
40,18
40,18
25,12
14,7
4,3
4,3
4,3
0,1
0,1
0,1
2,0
3,0
3,0
2,1
2,1
2,1
2,1
1,2
0,2
0,3
0,3
0,3
1,3
1,3
1,3
2,3
2,3
2,3
2,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
2,3
2,3
2,3
2,3
2,4
2,4
3,5
3,5
3,6
4,8
5,12
5,12
5,12
7,16
7,16
10,24
10,24
10,24
13,31
13,31
16,37
16,37
22,43
29,51
29,51
41,60
41,60
53,65
68,72
85,77
85,77
85,77
107,80
140,83
140,83
140,83
140,83
170,85
170,85
179,84
179,83
179,83
162,73
162,73
142,61
119,49
103,41
103,41
79,30
79,30
57,21
57,21
38,14
23,9
9,5
9,5
2,3
1,3
1,3
1,3
2,2
3,2
3,2
3,3
2,3
2,3
1,3
1,3
0,3
0,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
2,4
2,4
2,5
2,5
2,6
2,6
2,6
2,8
2,8
2,10
2,12
2,12
2,13
2,13
2,15
2,15
2,16
2,16
2,18
2,20
2,20
2,23
2,23
2,27
2,29
2,32
2,32
2,32
3,35
3,35
3,39
3,39
3,41
3,41
3,41
3,41
3,41
3,42
3,42
3,42
4,46
4,46
4,46
4,46
4,51
4,51
4,51
4,51
4,52
4,51
4,54
4,54
4,54
4,59
4,62
4,62
4,63
4,63
4,65
4,65
4,63
4,63
4,56
4,56
4,56
4,52
4,52
3,47
3,42
3,36
3,36
3,36
3,33
3,28
3,28
2,24
2,24
2,22
2,22
2,22
2,22
2,24
2,24
2,24
2,25
2,29
2,29
3,33
3,33
3,37
3,37
3,39
3,39
3,39
3,42
3,42
3,43
3,43
3,43
3,43
3,43
3,43
4,44
4,44
4,45
4,45
4,45
4,47
4,48
3,49
3,49
3,49
3,51
3,52
3,53
3,53
3,53
3,54
3,54
3,55
3,52
3,49
3,49
3,49
3,48
3,48
3,46
3,46
3,47
3,47
3,46
3,46
3,45
3,45
3,45
3,46
3,46
3,47
3,48
3,48
3,49
3,49
4,53
4,53
4,57
4,57
4,60
4,60
4,60
5,70
5,70
6,74
6,74
6,76
6,76
6,77
6,79
6,81
6,81
6,81
6,87
6,87
6,94
7,100
7,100
7,108
7,108
7,113
7,120
8,128
8,128
8,128
8,139
8,139
9,145
9,151
10,162
10,162
10,162
11,175
11,175
12,187
13,194
13,194
13,194
13,194
13,191
13,191
12,187
11,179
11,170
11,170
11,170
10,161
10,157
10,155
10,155
10,155
10,153
10,153
10,148
10,151
10,151
10,151
10,151
12,157
12,157
12,160
12,165
12,167
12,167
12,167
12,170
12,170
13,178
13,178
13,184
13,184
14,184
14,184
14,184
15,191
16,200
17,205
17,205
17,214
18,223
18,223
18,223
19,232
19,226
20,226
20,226
20,226
20,228
20,226
21,217
21,217
21,217
21,215
21,203
18,180
18,180
18,180
16,162
16,162
13,119
13,119
13,119
12,102
10,83
9,72
9,72
9,72
9,66
9,66
9,66
9,52
9,52
9,46
9,46
10,43
10,41
9,33
9,33
9,33
7,26
7,26
6,21
5,17
4,13
4,13
4,13
3,9
3,9
2,7
2,7
2,5
1,4
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
0,2
0,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,4
1,4
1,4
1,4
1,4
1,6
1,6
1,7
1,7
1,7
1,8
1,8
1,10
1,10
1,12
1,12
2,14
2,17
2,19
2,19
2,19
2,22
2,23
2,23
2,24
2,24
2,25
2,25
2,26
2,26
2,26
2,26
2,26
2,26
2,26
2,26
2,27
2,27
2,27
2,27
2,26
2,26
2,22
2,22
2,22
2,20
2,18
2,18
2,17
2,17
2,16
2,16
2,16
2,16
2,18
2,18
2,18
2,20
2,22
2,22
2,22
2,26
2,26
3,30
3,33
3,33
3,35
3,35
4,36
4,36
4,41
4,41
4,46
4,52
4,52
4,58
4,58
5,62
5,62
5,67
5,72
5,81
5,81
5,86
5,90
5,90
5,90
5,94
5,94
5,96
5,96
5,96
5,101
6,106
6,106
6,106
6,109
6,109
7,112
7,112
7,112
7,113
7,116
7,116
8,121
8,121
8,129
8,138
8,138
8,138
9,149
10,145
10,145
10,145
10,139
10,139
10,136
10,139
10,139
11,141
11,141
11,145
11,145
10,153
10,153
10,157
10,158
9,160
9,160
9,160
9,163
10,171
10,171
10,178
10,178
12,181
12,181
13,185
13,185
13,185
14,191
14,191
16,202
18,217
20,220
20,220
20,220
21,221
22,229
23,236
23,236
24,244
24,249
24,249
24,249
23,249
22,247
22,247
22,239
22,239
22,236
22,236
22,236
22,236
24,228
24,223
25,215
25,215
25,215
25,206
24,200
24,200
23,201
23,201
22,210
22,210
23,228
24,237
24,237
24,237
24,261
24,261
24,261
24,266
25,268
26,275
26,275
26,275
28,272
28,272
31,272
32,271
32,271
32,287
32,287
34,311
34,311
36,316
41,320
44,323
44,323
44,323
50,325
50,325
55,323
55,323
59,315
59,307
59,307
56,297
56,297
55,283
55,283
52,263
48,242
43,218
43,218
43,218
43,218
35,146
35,146
32,117
32,117
31,95
31,95
30,75
31,61
34,46
34,46
34,46
36,41
36,36
36,34
36,34
37,32
38,29
38,29
37,27
37,27
33,23
31,20
28,18
28,18
28,18
27,16
27,16
25,14
21,12
19,10
19,10
19,10
17,9
15,8
14,7
14,7
14,7
11,6
10,5
9,5
9,5
9,5
8,5
7,5
7,4
7,4
6,4
6,4
6,4
6,4
6,4
5,3
5,3
5,3
5,3
5,3
4,3
4,3
3,3
3,3
3,3
3,3
3,3
2,3
2,3
2,3
2,3
2,3
2,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
3,3
3,3
3,3
3,2
3,3
3,3
3,3
3,3
3,3
3,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
3,3
4,3
3,3
3,3
3,3
3,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
4,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,2
2,2
2,2
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
2,3
2,3
2,3
2,3
2,3
2,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,2
1,3
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
